timeframe,symbol,timestamp,open,high,low,close,volume,signal,signal_reason,trade_outcome,label,tp_price,sl_price,rr_ratio,demand_zone_strength,demand_zone_fresh,demand_zone_touches,supply_zone_strength,supply_zone_fresh,supply_zone_touches,nearest_demand_dist_atr,nearest_supply_dist_atr,in_demand_zone,in_supply_zone,between_zones,bullish_engulfing,bearish_engulfing,pin_bar_bullish,pin_bar_bearish,higher_low,lower_high,bos_bullish,bos_bearish,buy_confirmation_score,sell_confirmation_score,atr_14,rsi_14,ema_spread_atr,price_above_ema20,price_above_ema50,price_above_ema200,ema_trend_bias,bb_position,bb_width_atr,volume_ratio,body_atr_ratio,momentum_5,momentum_10,htf_1h_bias,htf_4h_bias,htf_aligned,candle_size_atr,body_size_atr,wick_upper_atr,wick_lower_atr,hour,month,day_of_week_int,spread_norm
15min,USTECm,2024-01-04 03:00:00,16397.22,16402.12,16396.99,16399.68,271.0,0,,0,0,,,,0.7882212314152129,0.0,6.0,2.601886446245831,0.0,6.0,0.21208453832436316,24.150022194692735,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,9.052993750376249,52.31623652204465,-2.33189666607096,0.0,0.0,0.0,-1.0,0.6522114793782495,3.3121195810407094,0.7350149172769189,0.2717333147278226,-0.14470351312756238,-0.32033602142726864,-1.0,-1.0,1.0,0.5666633758348495,0.2717333147278226,0.26952410078694594,0.025405960320080974,3,1,3,0.0
15min,USTECm,2024-01-04 03:15:00,16399.57,16402.77,16396.24,16396.27,320.0,0,,0,0,,,,,,,2.601886446245831,0.0,6.0,,25.473250805567186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.716594583659262,46.235094354321795,-2.3519446999972513,0.0,0.0,0.0,-1.0,0.5122554925922053,3.0048819404379024,0.8661523886858844,0.3785882168004476,-0.2294474041214834,-1.033660555567099,-1.0,-1.0,1.0,0.7491457744566433,0.3785882168004476,0.36711584659437346,0.003441711061822251,3,1,3,0.0
15min,USTECm,2024-01-04 03:30:00,16396.27,16398.24,16394.52,16395.19,347.0,0,,0,0,,,,,,,2.601886446245831,0.0,6.0,,27.71545508797511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,8.05038197250485,44.35113851636667,-2.478750289296337,0.0,0.0,0.0,-1.0,0.4379919729570349,2.828591918833241,0.9279315416499533,0.13415512502246668,-0.43351980215613284,-1.1688886356124,-1.0,-1.0,1.0,0.46208987507738525,0.13415512502246668,0.24470888545764755,0.083225864597271,3,1,3,0.0
15min,USTECm,2024-01-04 03:45:00,16395.09,16397.59,16392.39,16394.46,254.0,0,,0,0,,,,,,,2.601886446245831,0.0,6.0,,29.183877299406497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,7.670331042837634,42.98509701844722,-2.535297847626256,0.0,0.0,0.0,-1.0,0.35478860720834016,2.4514745100132815,0.6828874848769996,0.08213465579015373,0.15905441279965774,-0.7157448576001199,-1.0,-1.0,1.0,0.6779368414425387,0.08213465579015373,0.32593117377045133,0.2698710118819337,3,1,3,0.0
15min,USTECm,2024-01-04 04:00:00,16394.44,16399.92,16394.44,16398.61,237.0,1,demand rr=13.98,-1,0,16508.46,16390.750856548104,13.977350161929937,0.5651718419703149,1.0,0.0,2.601886446245831,0.0,6.0,0.0,29.77655963568879,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,7.378286903792558,52.56812132271047,-2.53440733625783,0.0,0.0,0.0,-1.0,0.5650114835782432,2.529846466279195,0.6513673216985021,0.5651718419700585,0.1897459421484183,-0.051502470011798064,-1.0,-1.0,1.0,0.7427198306944655,0.5651718419700585,0.17754798872440689,0.0,4,1,3,0.0
15min,USTECm,2024-01-04 04:15:00,16398.75,16400.48,16396.51,16398.02,240.0,0,,0,0,,,,0.7882212314152129,0.0,7.0,2.601886446245831,0.0,6.0,0.037551369642341285,31.816120070948372,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,6.9238486499537055,51.15761097466786,-2.6016533881769504,0.0,0.0,0.0,-1.0,0.5254169967719367,2.676388205915889,0.6672226855713095,0.10543269168728593,-0.23975105232997165,-0.4289521839881671,-1.0,-1.0,1.0,0.573380528765103,0.10543269168728593,0.24986103646438995,0.21808680061342708,4,1,3,0.0
15min,USTECm,2024-01-04 04:30:00,16398.02,16398.19,16395.06,16395.27,221.0,0,,0,0,,,,,,,2.601886446245831,0.0,6.0,,34.7522475569822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,6.418002163292863,44.706258973909485,-2.727297124033013,0.0,0.0,0.0,-1.0,0.3645682958656287,2.8002729905894386,0.6174046654560693,0.42848224884191477,-0.15581172685160538,-0.46743518055481614,-1.0,-1.0,1.0,0.4876907050455248,0.42848224884191477,0.026487993564772917,0.03272046263883713,4,1,3,0.0
15min,USTECm,2024-01-04 04:45:00,16395.22,16395.94,16393.26,16393.98,201.0,0,,0,0,,,,,,,2.601886446245831,0.0,6.0,,37.89612962874131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,5.9196018748538535,41.84973348628529,-2.8832446195297146,0.0,0.0,0.0,-1.0,0.29572269854553707,3.0531566059581436,0.5712661645587608,0.20947354673756904,-0.2044056383486094,-0.7939723142473604,-1.0,-1.0,1.0,0.4527331494005525,0.20947354673756904,0.12162980133149169,0.12162980133149169,4,1,3,0.0
15min,USTECm,2024-01-04 05:00:00,16393.98,16397.48,16390.19,16391.26,287.0,0,,0,0,,,,,,,2.601886446245831,0.0,6.0,,37.207150648129144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,6.102321624873457,36.21935504064755,-2.749309274351602,0.0,0.0,0.0,-1.0,0.03520671250642669,2.3814324387878254,0.8476077968103957,0.4457319963131908,-0.5243905838979908,-0.3244666737873326,-1.0,-1.0,1.0,1.1946272989423385,0.4457319963131908,0.573552201138297,0.1753431014908508,5,1,3,0.0
15min,USTECm,2024-01-04 05:15:00,16391.56,16394.68,16389.72,16390.2,296.0,0,,0,0,,,,,,,2.601886446245831,0.0,6.0,,38.337737323702754,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,5.950012074890213,34.153207839263985,-2.7766960794029,0.0,0.0,0.0,-1.0,0.03894092361873046,2.710779291424507,0.8975136446331109,0.2285709647110412,-1.4134425097204584,-1.1781488695764948,-1.0,-1.0,1.0,0.8336117536520327,0.2285709647110412,0.5243686837488593,0.08067210519213219,5,1,3,0.0
