timeframe,symbol,timestamp,open,high,low,close,volume,signal,signal_reason,trade_outcome,label,tp_price,sl_price,rr_ratio,demand_zone_strength,demand_zone_fresh,demand_zone_touches,supply_zone_strength,supply_zone_fresh,supply_zone_touches,nearest_demand_dist_atr,nearest_supply_dist_atr,in_demand_zone,in_supply_zone,between_zones,bullish_engulfing,bearish_engulfing,pin_bar_bullish,pin_bar_bearish,higher_low,lower_high,bos_bullish,bos_bearish,buy_confirmation_score,sell_confirmation_score,atr_14,rsi_14,ema_spread_atr,price_above_ema20,price_above_ema50,price_above_ema200,ema_trend_bias,bb_position,bb_width_atr,volume_ratio,body_atr_ratio,momentum_5,momentum_10,candle_size_atr,body_size_atr,wick_upper_atr,wick_lower_atr,hour,month,day_of_week_int,spread_norm
1H,USTECm,2024-01-12 16:00:00,16806.88,16856.52,16783.52,16790.33,4884.0,0,,0,0,,,,2.0435293437256563,0.0,7.0,0.6984082126531861,0.0,1.0,1.7347487838826923,0.2779590649423307,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,59.10942319296352,46.49818923318857,0.3950181567878716,0.0,1.0,1.0,1.0,0.32510330505703633,1.4225613442006162,1.7263440670177796,0.2799891981008223,0.5352784427740708,-0.505503156450262,1.2349976713812703,0.2799891981008223,0.8397984165392639,0.11521005674118426,16,1,4,0.0
1H,USTECm,2024-01-12 17:00:00,16791.08,16826.51,16780.06,16815.95,4027.0,0,,0,0,,,,1.2240528544172684,0.0,6.0,1.2018471514451765,0.0,2.0,0.37250855450548975,0.8515973966955648,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,57.421500100568,53.58384677000888,0.40452475915656694,1.0,1.0,1.0,1.0,0.6364333163779654,1.4434775454347628,1.4320004267197695,0.4331130318163526,0.7777574588226073,0.5766132884374623,0.8089304514623876,0.4331130318163526,0.18390324149500134,0.1919141781510336,17,1,4,0.0
1H,USTECm,2024-01-12 18:00:00,16815.72,16844.85,16815.72,16841.42,3245.0,0,,0,0,,,,1.1661417282175768,0.0,2.0,1.2018471514451765,0.0,2.0,0.2918956999356681,0.43672517557425616,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,53.649300087158586,59.70533419602336,0.45598878431771434,1.0,1.0,1.0,1.0,0.9010377835643834,1.6523283765942207,1.1195639048456933,0.47903700436441504,0.2918956999356681,0.3068073576590604,0.5429707368535179,0.47903700436441504,0.06393373248910286,0.0,18,1,4,0.0
1H,USTECm,2024-01-12 19:00:00,16840.63,16855.82,16805.93,16813.62,3366.0,0,,0,0,,,,1.2240528544172684,0.0,7.0,0.5082029327432408,1.0,0.0,0.3586208033352187,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.148060075537366,51.201172978398596,0.44946709340375984,1.0,1.0,1.0,1.0,0.5872159435890989,1.6683716016349202,1.123891884672532,0.5082029327432025,-0.6020915900696956,0.4679380576572724,0.9386984196430348,0.5082029327432025,0.28580535166120863,0.14469013523862373,19,1,4,0.0
1H,USTECm,2024-01-12 20:00:00,16813.59,16841.33,16794.57,16836.65,3513.0,0,,0,0,,,,1.1661417282175768,0.0,3.0,1.2018471514451765,0.0,2.0,0.20823645457308004,0.5392348961394493,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,52.296318732132654,57.048930809464,0.4701916560021614,1.0,1.0,1.0,1.0,0.811357517549396,1.76191492987874,1.150991923725898,0.44094881932542496,0.5715507462982784,1.003321099306399,0.8941355937405409,0.44094881932542496,0.08949004659336465,0.3636967278217512,20,1,4,0.0
1H,USTECm,2024-01-14 23:00:00,16828.72,16832.02,16808.32,16814.75,1515.0,0,,0,0,,,,1.2240528544172684,0.0,7.0,1.2018471514451765,0.0,2.0,0.41119484948816826,1.0203497751044066,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,49.100809567848536,50.41949497999612,0.48634475736299004,1.0,1.0,1.0,1.0,0.5688114506231791,1.8801621588303516,0.5033891547049442,0.2845166937766262,0.49734414187721654,1.1417327024422361,0.4826804325344338,0.2845166937766262,0.06720866782125028,0.13095507093655737,23,1,6,0.0
1H,USTECm,2024-01-15 00:00:00,16814.72,16826.68,16811.1,16825.28,1620.0,0,,0,0,,,,1.2240528544172684,0.0,7.0,1.2018471514451765,0.0,2.0,0.6883051355028839,0.8865961657503616,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,44.631368292135626,53.4223787967595,0.5324507785620686,1.0,1.0,1.0,1.0,0.677715720659323,2.0865651506233585,0.5413172051993184,0.2366048903291354,0.20904579798961984,1.2096873133399182,0.3490818362999933,0.2366048903291354,0.03136807258151416,0.08110887338934376,0,1,0,0.0
1H,USTECm,2024-01-15 01:00:00,16825.51,16830.96,16816.19,16827.57,1954.0,0,,0,0,,,,1.1661417282175768,0.0,4.0,1.2018471514451765,0.0,2.0,0.044526606809149306,0.9171004982562615,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,40.64985251985093,54.11966200985403,0.5830963678058608,1.0,1.0,1.0,1.0,0.6940561213927562,2.3218409040874413,0.6468592237027229,0.05067669062253106,-0.34071464326309775,0.044526606809149306,0.3633469516964969,0.05067669062253106,0.08339513650989334,0.22927512456407254,1,1,0,0.0
1H,USTECm,2024-01-15 02:00:00,16827.61,16851.37,16825.75,16850.01,1529.0,0,,0,0,,,,1.1661417282175768,0.0,5.0,1.2018471514451765,0.0,2.0,0.6274926306391148,0.3839996139663734,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,38.64587218387067,60.761386224672,0.6421947520633,1.0,1.0,1.0,1.0,0.8816323124531602,2.616060243720309,0.5050371593724194,0.5796220588171617,0.9416270857301865,0.11359557313424118,0.6629427297721288,0.5796220588171617,0.03519133928532768,0.04812933166963932,2,1,0,0.0
1H,USTECm,2024-01-15 03:00:00,16850.04,16858.5,16849.75,16855.24,1223.0,0,,0,0,,,,1.1661417282175768,0.0,6.0,1.2018471514451765,0.0,2.0,0.8505541727206027,0.2772668113921813,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,34.65975589268791,62.231694733289196,0.7498054421128654,1.0,1.0,1.0,1.0,0.8816622000825974,3.118007735661296,0.4080475110102763,0.15002990834961513,0.5363569223498783,1.398740376305735,0.2524541727036793,0.15002990834961513,0.09405721177302794,0.008367052581036228,3,1,0,0.0
