2026-04-01 20:34:44 | INFO     | mt5_collector        | mt5_collector.py:130 | MT5Collector initialized | symbol=USTech | broker_utc_offset=GMT+2
2026-04-01 20:34:44 | INFO     | mt5_collector.collection | logger.py:205 | ============================================================
2026-04-01 20:34:44 | INFO     | mt5_collector.collection | logger.py:206 | COLLECTION STARTED
2026-04-01 20:34:44 | INFO     | mt5_collector.collection | logger.py:207 | Symbol: USTech
2026-04-01 20:34:44 | INFO     | mt5_collector.collection | logger.py:208 | Mode: incremental
2026-04-01 20:34:44 | INFO     | mt5_collector.collection | logger.py:209 | Time: 2026-04-01 20:34:44.446861
2026-04-01 20:34:44 | INFO     | mt5_collector.collection | logger.py:210 | ============================================================
2026-04-01 20:34:44 | INFO     | mt5_collector        | mt5_collector.py:505 | Setting up database schema...
2026-04-01 20:34:45 | INFO     | mt5_collector        | mt5_collector.py:137 | Initializing MT5 connection...
2026-04-01 20:34:51 | INFO     | mt5_collector        | mt5_collector.py:154 | Logged in to MT5 account: 295134074
2026-04-01 20:34:51 | INFO     | mt5_collector        | mt5_collector.py:161 | MT5 Terminal: MetaTrader 5
2026-04-01 20:34:51 | INFO     | mt5_collector        | mt5_collector.py:162 | MT5 Version: 5572
2026-04-01 20:34:51 | INFO     | mt5_collector        | mt5_collector.py:165 | Session labeling active | broker offset: GMT+2 | Sessions: asian(00-07 UTC), london(07-12 UTC), london_ny_overlap(12-16 UTC), new_york(16-21 UTC), off_hours(21-00 UTC)
2026-04-01 20:34:51 | ERROR    | mt5_collector        | mt5_collector.py:184 | Symbol 'USTech' not found
2026-04-01 20:34:51 | ERROR    | mt5_collector.collection | logger.py:259 | Symbol 'USTech' not available
2026-04-01 20:34:51 | INFO     | mt5_collector        | mt5_collector.py:177 | MT5 connection closed
2026-04-01 20:34:51 | INFO     | mt5_collector.collection | logger.py:270 | ============================================================
2026-04-01 20:34:51 | INFO     | mt5_collector.collection | logger.py:271 | COLLECTION FAILED
2026-04-01 20:34:51 | INFO     | mt5_collector.collection | logger.py:272 | Duration: 0:00:07.110006
2026-04-01 20:34:51 | INFO     | mt5_collector.collection | logger.py:273 | Timeframes processed: 0
2026-04-01 20:34:51 | INFO     | mt5_collector.collection | logger.py:274 | Total fetched: 0
2026-04-01 20:34:51 | INFO     | mt5_collector.collection | logger.py:275 | Total inserted: 0
2026-04-01 20:34:51 | INFO     | mt5_collector.collection | logger.py:276 | Total duplicates skipped: 0
2026-04-01 20:34:51 | INFO     | mt5_collector.collection | logger.py:277 | Total invalid records: 0
2026-04-01 20:34:51 | INFO     | mt5_collector.collection | logger.py:280 | Errors encountered: 1
2026-04-01 20:34:51 | INFO     | mt5_collector.collection | logger.py:282 |   - Symbol 'USTech' not available
2026-04-01 20:34:51 | INFO     | mt5_collector.collection | logger.py:284 | ============================================================
2026-04-01 20:35:55 | INFO     | mt5_collector        | mt5_collector.py:130 | MT5Collector initialized | symbol=USTECm | broker_utc_offset=GMT+2
2026-04-01 20:35:55 | INFO     | mt5_collector.collection | logger.py:205 | ============================================================
2026-04-01 20:35:55 | INFO     | mt5_collector.collection | logger.py:206 | COLLECTION STARTED
2026-04-01 20:35:55 | INFO     | mt5_collector.collection | logger.py:207 | Symbol: USTECm
2026-04-01 20:35:55 | INFO     | mt5_collector.collection | logger.py:208 | Mode: incremental
2026-04-01 20:35:55 | INFO     | mt5_collector.collection | logger.py:209 | Time: 2026-04-01 20:35:55.668061
2026-04-01 20:35:55 | INFO     | mt5_collector.collection | logger.py:210 | ============================================================
2026-04-01 20:35:55 | INFO     | mt5_collector        | mt5_collector.py:505 | Setting up database schema...
2026-04-01 20:35:55 | INFO     | mt5_collector        | mt5_collector.py:137 | Initializing MT5 connection...
2026-04-01 20:35:55 | INFO     | mt5_collector        | mt5_collector.py:154 | Logged in to MT5 account: 295134074
2026-04-01 20:35:55 | INFO     | mt5_collector        | mt5_collector.py:161 | MT5 Terminal: MetaTrader 5
2026-04-01 20:35:55 | INFO     | mt5_collector        | mt5_collector.py:162 | MT5 Version: 5660
